Fecha,RFC ordenante,ID colaborador,CLABE,Importe,Referencia,Estatus,Motivo de rechazo,Folio SPEI
2026-01-15,SSC210415H29,EMP-001,014650844009394160,13888.0,NOM0101001,APLICADO,,SPEI939498358
2026-01-15,AOP190822K51,EMP-002,072910173585738907,10416.0,NOM0101002,APLICADO,,SPEI247213596
2026-01-15,PRE220118D34,EMP-003,002910269751510723,9808.4,NOM0101003,APLICADO,,SPEI683610231
2026-01-15,SSC210415H29,EMP-004,012650151110914483,11370.8,NOM0101004,APLICADO,,SPEI177981907
2026-01-15,GMA180705B12,EMP-005,072320508897260755,8235.5,NOM0101005,APLICADO,,SPEI380998738
2026-01-15,PRE220118D34,EMP-006,646180250369342533,6923.25,NOM0101006,APLICADO,,SPEI446545280
2026-01-15,SSC210415H29,EMP-007,012320110005958621,25399.8,NOM0101007,APLICADO,,SPEI099419542
2026-01-15,PRE220118D34,EMP-008,012910347883409753,11023.6,NOM0101008,APLICADO,,SPEI522719333
2026-01-15,SSC210415H29,EMP-009,002650080240641969,23139.3,NOM0101009,APLICADO,,SPEI372735551
2026-01-15,SSC210415H29,EMP-010,012650985627001097,4677.75,NOM0101010,APLICADO,,SPEI716840991
2026-01-15,SSC210415H29,EMP-011,012440318697474800,5150.25,NOM0101011,APLICADO,,SPEI506780005
2026-01-15,TST230209M88,EMP-012,002440519237966176,5150.25,NOM0101012,APLICADO,,SPEI045367258
2026-01-15,PRE220118D34,EMP-013,012910909100838351,21372.0,NOM0101013,APLICADO,,SPEI023773654
2026-01-15,PRE220118D34,EMP-014,072650642831628474,6742.25,NOM0101014,RECHAZADO,CLABE invalida,
2026-01-15,MLO200310J77,EMP-015,002440474094498948,5656.25,NOM0101015,APLICADO,,SPEI529940832
2026-01-15,TST230209M88,EMP-016,012910683259845896,21084.3,NOM0101016,APLICADO,,SPEI474202783
2026-01-15,AOP190822K51,EMP-017,021320646946020445,10893.4,NOM0101017,APLICADO,,SPEI918214600
2026-01-15,TST230209M88,EMP-018,012440703682195819,11067.0,NOM0101018,APLICADO,,SPEI427842674
2026-01-15,AOP190822K51,EMP-019,021650003762586560,5701.5,NOM0101019,APLICADO,,SPEI682011724
2026-01-15,SSC210415H29,EMP-020,014910792132044001,5244.75,NOM0101020,APLICADO,,SPEI414797403
2026-01-15,AOP190822K51,EMP-021,012650132824697552,21043.2,NOM0101021,APLICADO,,SPEI098656479
2026-01-15,AOP190822K51,EMP-022,021180382182335394,8054.5,NOM0101022,RECHAZADO,CLABE invalida,
2026-01-15,AOP190822K51,EMP-023,014440051201768335,8869.0,NOM0101023,APLICADO,,SPEI029152553
2026-01-15,SSC210415H29,EMP-024,012180732655058269,9808.4,NOM0101024,APLICADO,,SPEI259210038
2026-01-15,TST230209M88,EMP-025,014180316339473908,27454.8,NOM0101025,APLICADO,,SPEI625270749
2026-01-15,TST230209M88,EMP-026,012440290236693814,6425.5,NOM0101026,APLICADO,,SPEI391403971
2026-01-15,TST230209M88,EMP-027,012650246260910161,9634.8,NOM0101027,APLICADO,,SPEI925517166
2026-01-15,GMA180705B12,EMP-028,012650384549475868,5611.0,NOM0101028,RECHAZADO,CLABE invalida,
2026-01-15,PRE220118D34,EMP-029,014320376786432091,6425.5,NOM0101029,APLICADO,,SPEI058170415
