Fecha,RFC ordenante,ID colaborador,CLABE,Importe,Referencia,Estatus,Motivo de rechazo,Folio SPEI
2026-02-15,SSC210415H29,EMP-001,014650844009394160,13888.0,NOM0201001,APLICADO,,SPEI860334840
2026-02-15,AOP190822K51,EMP-002,072910173585738907,10416.0,NOM0201002,APLICADO,,SPEI785959381
2026-02-15,MLO200310J77,EMP-003,002910269751510723,9808.4,NOM0201003,APLICADO,,SPEI651600424
2026-02-15,SSC210415H29,EMP-004,012650151110914483,11370.8,NOM0201004,APLICADO,,SPEI463984702
2026-02-15,GMA180705B12,EMP-004,012650151110914483,11370.8,NOM0201004,APLICADO,,SPEI807952125
2026-02-15,MLO200310J77,EMP-005,072320508897260755,8235.5,NOM0201005,APLICADO,,SPEI321547248
2026-02-15,PRE220118D34,EMP-006,646180250369342533,6923.25,NOM0201006,APLICADO,,SPEI110108029
2026-02-15,SSC210415H29,EMP-007,012320110005958621,25399.8,NOM0201007,APLICADO,,SPEI116377654
2026-02-15,PRE220118D34,EMP-008,012910347883409753,11023.6,NOM0201008,APLICADO,,SPEI514843477
2026-02-15,MLO200310J77,EMP-009,002650080240641969,23139.3,NOM0201009,APLICADO,,SPEI029204095
2026-02-15,SSC210415H29,EMP-010,012650985627001097,4677.75,NOM0201010,APLICADO,,SPEI516921672
2026-02-15,SSC210415H29,EMP-011,012440318697474800,5150.25,NOM0201011,APLICADO,,SPEI954323703
2026-02-15,TST230209M88,EMP-012,002440519237966176,5150.25,NOM0201012,APLICADO,,SPEI388153151
2026-02-15,PRE220118D34,EMP-013,012910909100838351,21372.0,NOM0201013,APLICADO,,SPEI860888443
2026-02-15,SSC210415H29,EMP-014,072650642831628474,6742.25,NOM0201014,RECHAZADO,CLABE invalida,
2026-02-15,MLO200310J77,EMP-015,002440474094498948,5656.25,NOM0201015,APLICADO,,SPEI221520162
2026-02-15,TST230209M88,EMP-016,012910683259845896,21084.3,NOM0201016,APLICADO,,SPEI835087378
2026-02-15,AOP190822K51,EMP-017,021320646946020445,10893.4,NOM0201017,APLICADO,,SPEI958365023
