Fecha,RFC ordenante,ID colaborador,CLABE,Importe,Referencia,Estatus,Motivo de rechazo,Folio SPEI
2026-03-15,SSC210415H29,EMP-001,014650844009394160,13888.0,NOM0301001,APLICADO,,SPEI340332390
2026-03-15,AOP190822K51,EMP-002,072910173585738907,10416.0,NOM0301002,APLICADO,,SPEI183762897
2026-03-15,MLO200310J77,EMP-003,002910269751510723,9808.4,NOM0301003,APLICADO,,SPEI026859764
2026-03-15,SSC210415H29,EMP-004,012650151110914483,11370.8,NOM0301004,APLICADO,,SPEI415240466
2026-03-15,MLO200310J77,EMP-005,072320508897260755,8235.5,NOM0301005,APLICADO,,SPEI153332915
2026-03-15,PRE220118D34,EMP-006,646180250369342533,6923.25,NOM0301006,APLICADO,,SPEI903132564
2026-03-15,SSC210415H29,EMP-007,012320110005958621,25399.8,NOM0301007,APLICADO,,SPEI336552087
2026-03-15,PRE220118D34,EMP-008,012910347883409753,11023.6,NOM0301008,APLICADO,,SPEI582105973
2026-03-15,MLO200310J77,EMP-009,002650080240641969,23139.3,NOM0301009,APLICADO,,SPEI092251640
2026-03-15,SSC210415H29,EMP-010,012650985627001097,4677.75,NOM0301010,APLICADO,,SPEI241729358
2026-03-15,SSC210415H29,EMP-011,012440318697474800,5150.25,NOM0301011,APLICADO,,SPEI577749776
2026-03-15,TST230209M88,EMP-012,002440519237966176,5150.25,NOM0301012,APLICADO,,SPEI137107055
2026-03-15,PRE220118D34,EMP-013,012910909100838351,21372.0,NOM0301013,APLICADO,,SPEI035547995
2026-03-15,SSC210415H29,EMP-014,072650642831628474,6742.25,NOM0301014,RECHAZADO,CLABE invalida,
2026-03-15,MLO200310J77,EMP-015,002440474094498948,5656.25,NOM0301015,APLICADO,,SPEI910372346
2026-03-15,TST230209M88,EMP-016,012910683259845896,21084.3,NOM0301016,APLICADO,,SPEI362620615
2026-03-15,AOP190822K51,EMP-017,021320646946020445,10893.4,NOM0301017,APLICADO,,SPEI371096832
2026-03-15,TST230209M88,EMP-018,012440703682195819,11067.0,NOM0301018,APLICADO,,SPEI665134885
2026-03-15,AOP190822K51,EMP-019,021650003762586560,5701.5,NOM0301019,APLICADO,,SPEI066626253
2026-03-15,SSC210415H29,EMP-020,014910792132044001,5244.75,NOM0301020,APLICADO,,SPEI522481645
2026-03-15,AOP190822K51,EMP-021,012650132824697552,21043.2,NOM0301021,APLICADO,,SPEI585023428
2026-03-15,AOP190822K51,EMP-022,021180382182335394,8054.5,NOM0301022,RECHAZADO,CLABE invalida,
2026-03-15,AOP190822K51,EMP-023,014440051201768335,8869.0,NOM0301023,APLICADO,,SPEI360280085
2026-03-15,SSC210415H29,EMP-024,012180732655058269,9808.4,NOM0301024,APLICADO,,SPEI799415877
2026-03-15,TST230209M88,EMP-025,014180316339473908,27454.8,NOM0301025,APLICADO,,SPEI461844047
2026-03-15,TST230209M88,EMP-026,012440290236693814,6425.5,NOM0301026,APLICADO,,SPEI119316203
2026-03-15,TST230209M88,EMP-027,012650246260910161,9634.8,NOM0301027,APLICADO,,SPEI241647926
2026-03-15,GMA180705B12,EMP-028,012650384549475868,5611.0,NOM0301028,RECHAZADO,CLABE invalida,
2026-03-15,AOP190822K51,EMP-029,014320376786432091,6425.5,NOM0301029,APLICADO,,SPEI335169818
2026-03-15,GMA180705B12,EMP-030,012180575206651942,29222.1,NOM0301030,APLICADO,,SPEI326901707
2026-03-15,MLO200310J77,EMP-031,012180468190330619,5055.75,NOM0301031,APLICADO,,SPEI299530435
2026-03-15,SSC210415H29,EMP-032,012320736696770249,13410.6,NOM0301032,APLICADO,,SPEI165758316
2026-03-15,TST230209M88,EMP-033,002910804997339819,10068.8,NOM0301033,APLICADO,,SPEI178288846
2026-03-15,SSC210415H29,EMP-034,012320953702651915,11067.0,NOM0301034,RECHAZADO,CLABE invalida,
2026-03-15,AOP190822K51,EMP-035,002180997094244955,5055.75,NOM0301035,APLICADO,,SPEI659708344
