FECHA;SUCURSAL;VENDEDOR;PRODUCTO;CANT;P.UNIT;IMPORTE;OBS
09/01/2026;Guadalajara;JUAN PEREZ;Laptop Pro 14;6;23900;;
03/01/2026;Gdl;JUAN PEREZ;LAPTOP PRO 14;4;23900;$95,600;
09/01/2026;Guadalajra;JUAN PEREZ;laptop pro 14;4;23900;95600;
15/01/2026;GDL;JUAN PEREZ;laptop pro 14;1;23900;23900;pago en efectivo
01/01/2026;Guadalajara;JUAN PEREZ;TECLADO MECÁNICO;2;1450;$2,900;revisar
19/01/2026;Gdl;JUAN PEREZ;teclado mecánico;4;1450;5800;cliente frecuente
13/01/2026;Guadalajra;JUAN PEREZ;Teclado Mecánico;4;1450;5800;
23/01/2026;Guadalajra;JUAN PEREZ;teclado mecánico;4;1450;;
25/01/2026;GDL;JUAN PEREZ;TECLADO MECÁNICO;2;1450;2900;pago en efectivo
19/01/2026;Guadalajara;JUAN PEREZ;Teclado Mecánico;6;1450;8700;revisar
17/01/2026;Guadalajara;JUAN PEREZ;teclado mecánico;4;1450;;
11/01/2026;Gdl;JUAN PEREZ;teclado mecánico;4;1450;$5,800;
13/01/2026;Guadalajra;JUAN PEREZ;teclado mecánico;6;1450;$8,700;
19/01/2026;GDL;JUAN PEREZ;TECLADO MECÁNICO;4;1450;$5,800;pago en efectivo
01/01/2026;Guadalajara;JUAN PEREZ;teclado mecánico;4;1450;$5,800;revisar
07/01/2026;Gdl;JUAN PEREZ;TECLADO MECÁNICO;4;1450;5800;cliente frecuente
05/01/2026;Guadalajra;JUAN PEREZ;Teclado Mecánico;2;1450;2900;
07/01/2026;GDL;JUAN PEREZ;Teclado Mecánico;4;1450;$5,800;
05/01/2026;Guadalajara;JUAN PEREZ;TECLADO MECÁNICO;2;1450;2900;
03/01/2026;Gdl;JUAN PEREZ;Teclado Mecánico;2;1450;2900;
13/01/2026;Guadalajra;JUAN PEREZ;Teclado Mecánico;4;1450;5800;
07/01/2026;GDL;JUAN PEREZ;TECLADO MECÁNICO;2;1450;2900;pago en efectivo
05/01/2026;Guadalajara;JUAN PEREZ;teclado mecánico;2;1450;2900;revisar
27/01/2026;Gdl;JUAN PEREZ;teclado mecánico;4;1450;5800;cliente frecuente
21/01/2026;Guadalajra;JUAN PEREZ;TECLADO MECÁNICO;2;1450;$2,900;
11/01/2026;Guadalajra;JUAN PEREZ;TECLADO MECÁNICO;4;1450;;
17/01/2026;GDL;JUAN PEREZ;Mouse Inalámbrico;2;620;1240;pago en efectivo
11/01/2026;Guadalajara;JUAN PEREZ;mouse inalámbrico;6;620;$3,720;revisar
05/01/2026;Gdl;JUAN PEREZ;mouse inalámbrico;2;620;1240;cliente frecuente
27/01/2026;Guadalajra;JUAN PEREZ;Mouse Inalámbrico;6;620;3720;
21/01/2026;GDL;JUAN PEREZ;mouse inalámbrico;2;620;1240;
03/01/2026;Guadalajara;JUAN PEREZ;Mouse Inalámbrico;4;620;2480;
21/01/2026;Gdl;JUAN PEREZ;Mouse Inalámbrico;2;620;1240;
23/01/2026;Guadalajra;JUAN PEREZ;mouse inalámbrico;6;620;$3,720;
05/01/2026;GDL;JUAN PEREZ;Mouse Inalámbrico;2;620;$1,240;pago en efectivo
27/01/2026;Guadalajara;JUAN PEREZ;mouse inalámbrico;2;620;1240;revisar
01/01/2026;Gdl;JUAN PEREZ;MOUSE INALÁMBRICO;6;620;3720;cliente frecuente
19/01/2026;Guadalajra;JUAN PEREZ;mouse inalámbrico;6;620;3720;
21/01/2026;Guadalajra;JUAN PEREZ;mouse inalámbrico;6;620;;
23/01/2026;GDL;JUAN PEREZ;MOUSE INALÁMBRICO;2;620;1240;pago en efectivo
25/01/2026;Guadalajara;JUAN PEREZ;mouse inalámbrico;6;620;$3,720;revisar
23/01/2026;Gdl;JUAN PEREZ;Mouse Inalámbrico;4;620;2480;cliente frecuente
21/01/2026;Guadalajra;JUAN PEREZ;mouse inalámbrico;2;620;1240;
23/01/2026;GDL;JUAN PEREZ;MOUSE INALÁMBRICO;4;620;2480;
21/01/2026;Guadalajara;JUAN PEREZ;Mouse Inalámbrico;2;620;$1,240;
03/01/2026;Guadalajara;JUAN PEREZ;MOUSE INALÁMBRICO;6;620;;revisar
09/01/2026;Guadalajara;JUAN PEREZ;mouse inalámbrico;4;620;;
07/01/2026;Gdl;JUAN PEREZ;mouse inalámbrico;1;620;620;
