fecha,producto,vendedor,sucursal,cant,precio,total,obs
19-mar,Laptop Pro 14 ,Juan Pérez,GDL,4,24500,98000,
17/3/2026,LAPTOPPRO14,Juan Pérez,Guadalajra,4,24500,98000,
2026-03-27,laptop pro 14,Juan Pérez,Gdl,6,24500,147000,
March 9,Laptop Pro 14,Juan Pérez,Guadalajara,2,24500,49000,
03-mar,Laptop Pro 14 ,Juan Pérez,GDL,2,24500,49000,
17/3/2026,LAPTOPPRO14,Juan Pérez,Guadalajra,1,24500,24500,
2026-03-15,teclado mecánico,Juan Pérez,Gdl,4,1450,5800,
March 9,Teclado Mecánico,Juan Pérez,Guadalajara,2,1450,2900,
15-mar,Teclado Mecánico ,Juan Pérez,GDL,6,1450,8700,
13/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,6,1450,8700,
2026-03-03,teclado mecánico,Juan Pérez,Gdl,6,1450,8700,
March 25,Teclado Mecánico,Juan Pérez,Guadalajara,4,1450,5800,
07-mar,Teclado Mecánico ,Juan Pérez,GDL,6,1450,8700,
9/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,4,1450,5800,
2026-03-07,teclado mecánico,Juan Pérez,Gdl,2,1450,2900,
March 13,Teclado Mecánico,Juan Pérez,Guadalajara,4,1450,5800,
27-mar,Teclado Mecánico ,Juan Pérez,GDL,4,1450,5800,
13/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,4,1450,5800,
2026-03-15,teclado mecánico,Juan Pérez,Gdl,6,1450,8700,
March 1,Teclado Mecánico,Juan Pérez,Guadalajara,4,1450,5800,
15-mar,Teclado Mecánico ,Juan Pérez,GDL,6,1450,8700,
17/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,6,1450,8700,
2026-03-27,teclado mecánico,Juan Pérez,Gdl,6,1450,8700,
March 5,Teclado Mecánico,Juan Pérez,Guadalajara,4,1450,5800,
03-mar,Teclado Mecánico ,Juan Pérez,GDL,4,1450,5800,
9/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,2,1450,2900,
2026-03-19,teclado mecánico,Juan Pérez,Gdl,6,1450,8700,
March 9,Teclado Mecánico,Juan Pérez,Guadalajara,6,1450,8700,
15-mar,Teclado Mecánico ,Juan Pérez,GDL,6,1450,8700,
1/3/2026,TECLADOMECÁNICO,Juan Pérez,Guadalajra,1,1450,1450,
2026-03-15,mouse inalámbrico,Juan Pérez,Gdl,6,620,3720,
March 5,Mouse Inalámbrico,Juan Pérez,Guadalajara,4,620,2480,
19-mar,Mouse Inalámbrico ,Juan Pérez,GDL,6,620,3720,
9/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,2,620,1240,
2026-03-27,mouse inalámbrico,Juan Pérez,Gdl,4,620,2480,
March 21,Mouse Inalámbrico,Juan Pérez,Guadalajara,2,620,1240,
07-mar,Mouse Inalámbrico ,Juan Pérez,GDL,2,620,1240,
9/3/2026,MOUSEINALÁMBRICO,Juan Pérez,Guadalajra,6,620,3720,
2026-03-03,mouse inalámbrico,Juan Pérez,Gdl,6,620,3720,
March 1,Mouse Inalámbrico,Juan Pérez,Guadalajara,2,620,1240,
